price,freight_value,nb_items,product_weight_g,review_score,total_paid,is_night,is_weekend
29.99,8.72,1,500.0,4.0,38.71,0,0
118.7,22.76,1,400.0,4.0,141.46,0,0
159.9,19.22,1,420.0,5.0,179.12,0,0
45.0,27.2,1,450.0,5.0,72.2,0,1
19.9,8.72,1,250.0,5.0,28.62,0,0
147.9,27.36,1,7150.0,4.0,175.26,0,1
59.99,15.17,1,50.0,5.0,75.16,0,0
19.9,16.05,1,300.0,1.0,35.95,0,0
149.99,19.77,1,9750.0,5.0,169.76,0,1
198.0,61.06,2,9000.0,1.0,259.06,0,0
98.0,16.13,1,325.0,4.0,114.13,0,0
31.9,18.23,1,450.0,5.0,50.13,0,0
19.9,12.8,1,200.0,5.0,32.7,0,0
38.25,16.11,1,583.0,4.0,54.36,0,0
132.4,14.05,1,150.0,5.0,146.45,0,0
1299.0,77.45,1,20850.0,4.156186520855942,1376.45,0,0
27.99,15.1,1,300.0,5.0,43.09,1,0
17.9,11.85,1,250.0,5.0,29.75,1,0
76.0,16.97,1,325.0,4.0,92.97,0,0
109.9,8.96,1,525.0,2.0,118.86,0,0
79.99,8.91,1,250.0,5.0,88.9,0,0
9.5,7.78,1,200.0,3.0,17.28,0,1
129.99,57.58,1,14950.0,4.0,187.57,0,0
89.9,14.21,1,600.0,5.0,104.11,0,0
109.9,15.53,1,500.0,2.0,125.43,1,0
130.4,97.28,2,5650.0,1.0,227.68,1,0
47.9,12.79,1,200.0,5.0,60.69,1,0
178.99,13.69,1,292.0,4.0,192.68,0,0
30.1,33.24,1,850.0,4.0,63.34,0,1
279.0,34.19,1,16450.0,2.0,313.19,0,0
186.9,38.0,1,100.0,1.0,224.9,0,0
49.0,14.1,1,3000.0,4.0,63.1,0,0
84.9,15.35,1,800.0,5.0,100.25,0,1
179.0,9.41,1,425.0,5.0,188.41,1,1
78.0,28.95,1,850.0,5.0,106.95,0,1
39.9,26.89,1,1207.0,4.0,66.79,0,0
27.9,15.1,1,200.0,5.0,43.0,0,0
445.0,63.17,1,683.0,5.0,508.17,0,0
36.9,12.79,1,700.0,3.0,49.69,0,0
119.99,34.2,1,6050.0,5.0,154.19,0,0
339.0,17.12,1,14300.0,1.0,356.12,0,0
69.9,25.77,1,281.0,5.0,95.67,0,0
99.0,22.62,1,450.0,4.0,121.62,1,1
139.0,14.72,1,8875.0,1.0,153.72,0,0
36.9,17.92,1,650.0,4.0,54.82,0,1
69.9,12.43,1,2600.0,5.0,82.33,0,0
33.9,18.34,1,1150.0,5.0,52.24,0,1
115.0,15.56,1,450.0,5.0,130.56,0,0
39.47,13.37,1,1700.0,5.0,52.84,0,0
53.44,18.47,1,410.0,5.0,71.91,0,0
120.0,31.04,2,100.0,1.0,151.04,0,0
369.0,17.33,1,394.0,4.0,386.33,1,0
38.4,11.85,1,950.0,5.0,50.25,0,0
